student_id,study_hours,absences,school_support,final_grade
S0130,17.3,18,no,59
S0131,22.8,20,no,22
S0132,7.8,18,no,37
S0133,16.4,7,no,49
S0134,5.4,11,yes,59
S0135,15.9,7,no,99
S0136,10.6,20,yes,96
S0137,9.9,13,no,4
S0138,12.8,9,no,97
S0139,23.7,10,no,77
S0140,28.0,8,no,78
S0141,5.6,15,yes,41
S0142,4.1,2,yes,17
S0143,12.8,4,no,17
S0144,3.6,19,yes,11
S0145,21.0,13,yes,95
S0146,4.8,10,no,41
S0147,15.2,8,no,80
S0148,23.1,17,yes,80
S0149,6.0,18,yes,40
S0150,4.8,7,no,1
S0151,23.5,18,yes,76
S0152,14.6,17,yes,0
S0153,19.0,7,yes,33
S0154,9.8,20,no,32
S0155,29.3,19,yes,68
S0156,6.3,12,no,40
S0157,8.0,9,yes,22
S0158,23.2,3,yes,29
S0159,29.2,7,yes,70
S0160,28.9,17,no,3
S0161,15.9,0,yes,31
S0162,20.0,3,yes,39
S0163,6.2,15,yes,59
S0164,3.0,10,yes,65
S0165,21.2,19,yes,90
S0166,24.2,16,no,67
S0167,14.1,16,yes,70
S0168,4.7,8,no,65
S0169,20.4,13,yes,39
S0170,19.5,7,no,50
S0171,12.0,15,yes,44
S0172,27.9,13,no,75
S0173,19.6,4,yes,57
S0174,6.9,5,yes,33
S0175,10.4,4,yes,83
S0176,6.2,7,yes,93
S0177,1.2,10,no,56
S0178,8.0,11,yes,39
S0179,18.8,8,yes,96
S0180,8.2,8,no,45
S0181,1.6,7,no,54
S0182,24.4,3,no,37
S0183,10.3,8,no,89
S0184,7.5,12,no,65
S0185,3.3,2,no,11
S0186,5.1,8,no,67
S0187,25.5,11,no,1
S0188,12.2,0,no,41
S0189,14.5,13,no,97
S0190,25.1,7,no,36
S0191,10.5,0,yes,18
S0192,29.2,6,yes,56
S0193,28.8,12,no,40
S0194,21.4,3,yes,86
S0195,28.0,1,no,7
S0196,2.1,4,yes,8
S0197,6.8,11,yes,36
S0198,19.7,5,no,77
S0199,8.3,20,yes,19
S0200,19.2,20,no,3
S0201,16.4,14,no,45
S0202,0.2,19,yes,73
S0203,28.1,6,no,74
S0204,26.8,7,no,46
S0205,0.8,18,no,84
S0206,22.3,10,yes,53
S0207,3.8,12,no,27
S0208,18.8,10,yes,50
S0209,7.6,12,yes,74
S0210,8.6,10,yes,60
S0211,9.7,17,yes,10
S0212,16.0,13,no,96
S0213,20.6,2,yes,23
S0214,27.6,5,yes,79
S0215,20.3,19,yes,96
S0216,4.3,20,yes,82
S0217,1.3,8,no,97
S0218,25.8,4,no,32
S0219,10.9,15,yes,96
S0220,25.8,12,no,31
S0221,10.7,3,yes,60
S0222,0.3,6,no,12
S0223,7.4,1,yes,6
S0224,12.9,2,yes,17
S0225,7.4,10,yes,51
S0226,13.1,3,no,23
S0227,6.4,18,no,84
S0228,0.5,14,yes,10
S0229,22.7,9,yes,3
S0230,26.9,17,yes,41
S0231,5.2,6,no,13
S0232,11.6,20,yes,63
S0233,19.1,10,yes,89
S0234,2.0,6,no,2
S0235,13.9,16,yes,100
S0236,29.6,6,no,14
S0237,13.0,16,no,28
S0238,6.1,3,no,2
S0239,28.8,8,yes,28
S0240,4.9,10,yes,77
S0241,23.4,18,no,7
S0242,26.1,2,yes,65
S0243,28.9,15,no,79
S0244,12.4,8,yes,71
S0245,10.1,18,yes,34
S0246,1.9,7,yes,88
S0247,27.0,9,yes,72
S0248,2.4,10,no,80
S0249,29.1,20,yes,2
S0250,5.2,8,yes,100
S0251,5.0,11,yes,62
S0252,5.9,5,no,41
S0253,1.2,6,no,35
S0254,23.2,14,no,53
S0255,2.1,18,yes,86
S0256,20.6,19,no,7
S0257,7.5,19,no,91
S0258,14.8,4,yes,47
S0259,0.5,4,yes,86
S0260,9.5,19,yes,13
S0261,19.0,15,no,55
S0262,16.5,0,yes,39
S0263,3.8,11,yes,26
S0264,14.1,4,no,33
S0265,9.3,14,yes,40
S0266,8.6,1,no,83
S0267,20.7,0,yes,12
S0268,14.6,1,yes,44
S0269,28.5,15,no,93
S0270,3.2,9,no,50
S0271,8.7,20,no,48
S0272,15.8,2,yes,46
S0273,27.9,13,no,14
S0274,16.9,6,yes,53
S0275,13.5,17,yes,27
S0276,20.7,0,yes,13
S0277,20.4,20,no,93
S0278,2.6,14,no,36
S0279,20.1,5,yes,28
S0280,28.7,16,yes,28
S0281,16.7,0,yes,17
S0282,1.1,4,no,86
S0283,25.4,4,no,95
S0284,7.0,3,no,50
S0285,13.3,18,yes,67
S0286,17.1,2,no,92
S0287,29.3,16,yes,45
S0288,19.9,6,yes,8
S0289,7.9,18,no,96
S0290,9.5,6,no,1
S0291,9.7,11,no,99
S0292,4.3,20,yes,41
S0293,28.0,11,no,47
S0294,8.9,12,yes,69
S0295,3.0,17,yes,92
S0296,26.6,15,no,92
S0297,4.4,5,no,59
S0298,7.4,19,yes,19
S0299,21.1,6,yes,60
S0300,3.8,11,yes,45
S0301,6.6,9,yes,76
S0302,4.2,8,no,5
S0303,4.6,11,no,98
S0304,23.8,5,no,20
S0305,12.9,10,no,3
S0306,29.5,3,yes,82
S0307,18.9,4,yes,18
S0308,5.2,0,yes,46
S0309,8.5,13,yes,67
S0310,8.8,13,yes,47
S0311,24.4,15,yes,72
S0312,17.7,11,no,37
S0313,13.7,20,no,18
S0314,20.5,18,yes,70
S0315,12.3,10,yes,39
S0316,4.3,3,yes,15
S0317,16.4,2,yes,81
S0318,18.1,19,yes,59
S0319,4.2,14,no,75
S0320,22.5,12,yes,56
S0321,3.4,10,no,34
S0322,23.0,15,yes,59
S0323,23.8,9,yes,54
S0324,2.3,4,no,11
S0325,3.3,7,no,35
S0326,14.4,18,yes,27
S0327,17.7,16,no,94
S0328,29.0,17,yes,13
S0329,5.6,19,yes,13
S0330,7.9,16,yes,34
S0331,12.8,18,yes,55
S0332,6.3,19,yes,44
S0333,14.4,18,no,1
S0334,19.2,16,yes,53
S0335,3.1,0,yes,38
S0336,15.4,11,yes,6
S0337,18.0,20,no,52
S0338,7.3,2,no,77
S0339,17.3,10,yes,31
S0340,24.7,6,no,9
S0341,20.1,1,yes,72
S0342,3.0,20,yes,41
S0343,10.1,11,yes,47
S0344,9.9,6,no,63
S0345,25.0,4,no,40
S0346,20.2,6,no,69
S0347,20.5,17,yes,22
S0348,1.0,0,yes,12
S0349,3.8,7,yes,52
S0350,7.2,16,yes,28
S0351,12.2,14,yes,66
S0352,19.5,19,no,25
S0353,11.0,6,yes,68
S0354,28.5,11,yes,47
S0355,21.7,16,yes,90
S0356,7.8,4,yes,22
S0357,9.2,14,no,1
S0358,0.7,10,yes,8
S0359,7.0,4,yes,30
S0360,9.7,13,no,55
S0361,17.3,14,yes,30
S0362,3.3,12,yes,7
S0363,6.3,6,yes,54
S0364,20.9,10,yes,55
S0365,9.0,8,no,28
S0366,4.4,0,no,22
S0367,27.4,12,no,80
S0368,5.9,9,no,5
S0369,5.9,15,no,0
S0370,17.9,2,yes,2
S0371,19.0,12,yes,76
S0372,21.7,2,no,47
S0373,1.4,12,yes,84
S0374,29.1,9,yes,12
S0375,19.4,17,yes,8
S0376,17.7,14,yes,35
S0377,22.1,13,yes,47
S0378,12.2,7,no,93
S0379,25.0,6,no,36
S0380,20.6,15,no,74
S0381,25.8,4,yes,70
S0382,28.8,20,no,9
S0383,22.4,17,no,67
S0384,29.0,3,no,16
S0385,25.5,4,yes,46
S0386,29.0,13,no,79
S0387,2.3,8,no,48
S0388,17.0,2,yes,29
S0389,17.0,20,no,53
S0390,25.5,4,yes,11
S0391,28.5,7,yes,73
S0392,26.6,9,yes,38
S0393,8.0,12,no,13
S0394,15.2,17,yes,63
S0395,13.9,14,no,39
S0396,26.1,15,no,33
S0397,20.5,7,no,11
S0398,11.4,10,no,4
S0399,9.5,0,no,51
S0400,22.5,15,yes,94
S0401,5.5,0,yes,74
S0402,27.8,12,yes,1
S0403,10.1,0,yes,9
S0404,21.6,20,yes,94
S0405,11.8,18,no,42
S0406,14.8,3,no,45
S0407,14.0,12,no,34
S0408,22.5,4,no,36
S0409,6.8,1,no,34
S0410,4.6,16,yes,42
S0411,29.9,14,yes,21
S0412,24.4,13,no,32
S0413,16.0,15,no,45
S0414,21.6,2,no,68
S0415,14.6,3,no,2
S0416,8.8,12,no,60
S0417,17.7,3,no,76
S0418,6.1,9,no,36
S0419,22.7,15,no,11
S0420,7.7,18,no,6
S0421,5.6,11,yes,53
S0422,0.2,16,no,39
S0423,20.6,14,yes,35
S0424,5.1,3,yes,76
S0425,15.9,18,no,82
S0426,10.6,18,no,93
S0427,9.2,13,yes,64
S0428,8.1,10,yes,71
S0429,11.5,13,yes,43
S0430,11.6,2,no,65
S0431,28.1,19,no,22
S0432,9.4,16,no,34
S0433,15.8,0,yes,50
S0434,2.8,20,no,60
S0435,19.9,8,yes,33
S0436,3.2,6,no,51
S0437,0.2,5,yes,39
S0438,11.6,4,no,42
S0439,27.2,20,no,72
S0440,1.3,17,no,68
S0441,15.5,12,yes,20
S0442,27.6,3,no,49
S0443,4.3,4,no,11
S0444,29.2,4,no,18
S0445,27.4,16,yes,24
S0446,1.1,2,no,36
S0447,23.4,5,yes,37
S0448,3.7,18,yes,100
S0449,18.3,5,yes,69
S0450,21.9,4,no,67
S0451,21.6,5,no,59
S0452,6.5,8,no,86
S0453,7.5,11,no,28
S0454,24.8,11,yes,7
S0455,21.3,10,no,49
S0456,24.1,19,no,48
S0457,10.8,7,yes,15
S0458,28.1,9,yes,56
S0459,27.7,3,no,57
S0460,27.0,1,no,58
S0461,22.7,0,yes,86
S0462,23.3,1,no,75
S0463,20.7,9,yes,38
S0464,10.1,19,yes,86
S0465,2.3,3,no,33
S0466,11.4,12,no,97
S0467,3.5,15,yes,43
S0468,17.4,9,yes,87
S0469,5.2,2,no,11
S0470,20.5,2,yes,52
S0471,3.6,3,no,57
S0472,16.1,4,no,69
S0473,4.8,9,no,81
S0474,3.7,10,yes,61
S0475,25.7,15,yes,89
S0476,19.4,8,yes,66
S0477,16.1,18,no,26
S0478,29.7,19,yes,94
S0479,28.0,19,no,49
S0480,7.5,0,no,32
S0481,16.6,15,yes,95
S0482,0.6,5,no,24
S0483,28.1,3,no,59
S0484,13.7,7,yes,69
S0485,29.2,7,no,16
S0486,8.4,9,yes,25
S0487,8.1,11,no,37
S0488,26.9,14,yes,46
S0489,5.3,11,no,10
S0490,11.4,10,yes,63
S0491,16.6,8,yes,14
S0492,26.3,9,no,49
S0493,22.3,4,yes,79
S0494,25.7,12,yes,24
S0495,12.9,15,yes,98
S0496,12.4,0,no,14
S0497,17.3,3,yes,47
S0498,14.7,0,yes,91
S0499,27.3,10,yes,31
S0500,25.0,3,no,25
S0501,14.7,15,no,83
S0502,7.7,10,no,91
S0503,15.8,3,yes,30
S0504,26.1,4,no,91
S0505,9.6,10,yes,71
S0506,17.9,6,yes,72
S0507,26.3,18,no,19
S0508,9.2,16,no,45
S0509,5.5,8,no,58
S0510,21.5,7,yes,30
S0511,4.2,17,yes,2
S0512,0.2,17,yes,5
S0513,12.5,16,no,88
S0514,4.1,1,no,44
S0515,8.9,12,yes,80
S0516,13.1,19,no,2
S0517,3.1,17,yes,88
S0518,28.2,12,no,24
S0519,24.4,19,no,49
S0520,20.0,6,no,82
S0521,13.2,7,yes,64
S0522,7.2,9,yes,63
S0523,27.0,6,no,62
S0524,4.1,6,no,58
S0525,4.6,8,no,65
S0526,26.4,1,no,82
S0527,17.6,6,no,6
S0528,2.0,4,yes,47
S0529,11.3,13,yes,67
S0530,25.1,16,yes,35
S0531,23.8,3,no,66
S0532,6.6,4,yes,85
S0533,27.1,8,yes,56
S0534,14.0,9,no,61
S0535,16.0,8,yes,63
S0536,21.0,20,yes,64
S0537,23.7,4,no,96
S0538,24.2,20,no,85
S0539,21.7,7,no,26
S0540,25.0,4,no,87
S0541,24.1,4,no,24
S0542,11.7,0,yes,4
S0543,19.2,16,no,66
S0544,17.7,11,yes,13
S0545,29.8,14,yes,32
S0546,2.9,16,yes,35
S0547,26.0,8,no,14
S0548,22.0,19,no,25
S0549,5.1,17,no,17
S0550,14.1,12,no,66
S0551,4.6,0,no,67
S0552,12.2,1,yes,80
S0553,7.7,18,yes,80
S0554,12.4,6,yes,35
S0555,13.8,1,yes,85
S0556,14.5,11,yes,82
S0557,11.2,8,no,27
S0558,15.5,18,no,62
S0559,13.2,13,yes,62
S0560,4.2,15,yes,8
S0561,18.3,7,no,5
S0562,28.6,6,no,62
S0563,27.1,15,yes,4
S0564,12.7,6,yes,50
S0565,23.3,18,yes,100
S0566,14.1,11,yes,31
S0567,13.3,10,yes,61
S0568,23.3,7,no,26
S0569,25.9,20,no,19
S0570,10.4,0,no,97
S0571,7.7,7,no,49
S0572,5.4,9,yes,22
S0573,7.3,4,no,66
S0574,7.4,3,yes,83
S0575,1.8,12,yes,30
S0576,11.5,15,yes,14
S0577,8.3,4,no,81
S0578,10.5,0,yes,65
S0579,29.5,4,no,62
S0580,19.0,18,yes,93
S0581,2.3,3,yes,5
S0582,19.6,0,yes,95
S0583,1.1,15,yes,9
S0584,21.3,12,no,81
S0585,24.1,5,no,19
S0586,12.1,18,yes,98
S0587,23.5,1,yes,10
S0588,9.2,8,no,63
S0589,16.0,0,no,13
S0590,18.9,7,yes,7
S0591,5.9,19,no,62
S0592,10.0,6,no,41
S0593,12.4,10,no,5
S0594,4.2,3,yes,42
S0595,16.4,14,no,1
S0596,8.7,10,yes,64
S0597,19.1,8,yes,84
S0598,5.9,20,no,66
S0599,21.5,2,yes,60
S0600,15.3,17,yes,54
S0601,14.4,18,no,47
S0602,13.7,4,yes,11
S0603,26.1,19,no,1
S0604,11.1,8,no,97
S0605,29.6,6,no,74
S0606,2.4,17,no,47
S0607,14.7,3,yes,41
S0608,4.8,19,yes,67
S0609,23.1,18,yes,22
S0610,20.6,5,no,72
S0611,26.3,5,no,21
S0612,20.9,12,yes,80
S0613,3.7,14,yes,8
S0614,20.4,18,yes,68
S0615,19.3,6,yes,36
S0616,25.4,0,no,62
S0617,29.7,8,yes,95
S0618,24.5,17,yes,86
S0619,6.5,4,yes,82
S0620,6.2,14,yes,78
S0621,19.0,14,yes,75
S0622,9.4,3,no,91
S0623,26.3,4,no,88
S0624,24.6,2,yes,58
S0625,21.6,0,no,92
S0626,22.3,8,yes,85
S0627,24.2,16,no,63
S0628,25.4,18,yes,63
S0629,0.6,6,yes,7
S0630,15.4,6,no,93
S0631,1.3,4,yes,93
S0632,12.3,16,no,22
S0633,0.8,17,yes,61
S0634,5.2,20,no,98
S0635,0.3,2,no,15
S0636,17.0,9,yes,41
S0637,13.6,6,yes,93
S0638,0.4,6,no,15
S0639,3.9,4,yes,11
S0640,3.4,7,yes,44
S0641,1.9,2,no,90
S0642,27.5,2,no,85
S0643,21.2,17,yes,28
S0644,17.3,8,yes,58
S0645,29.9,1,yes,23
S0646,11.5,12,no,70
S0647,11.4,13,no,41
S0648,16.2,16,no,45
S0649,11.9,1,no,42
S0650,6.9,14,no,68
S0651,25.4,11,no,8
S0652,22.5,6,yes,55
S0653,8.8,18,no,38
S0654,16.2,9,no,57
S0655,10.7,17,no,98
S0656,5.3,3,no,9
S0657,2.0,11,no,40
S0658,20.0,3,no,79
S0659,2.1,1,no,5
S0660,4.1,20,yes,8
S0661,16.9,0,yes,82
S0662,23.9,17,no,84
S0663,10.4,18,no,16
S0664,2.9,14,yes,90
S0665,3.0,4,no,23
S0666,7.1,2,no,9
S0667,3.0,6,yes,10
S0668,13.5,17,no,97
S0669,26.1,20,yes,19
S0670,19.2,20,yes,97
S0671,26.9,14,yes,76
S0672,8.0,17,no,89
S0673,14.7,19,yes,3
S0674,28.4,0,yes,68
S0675,2.0,10,no,70
S0676,0.1,7,yes,90
S0677,4.5,4,yes,27
S0678,25.9,4,no,0
S0679,23.3,9,yes,77
S0680,25.7,7,yes,59
S0681,21.1,7,no,90
S0682,8.3,10,no,40
S0683,14.4,9,no,0
S0684,13.3,17,yes,49
S0685,0.4,13,no,86
S0686,22.8,4,no,81
S0687,23.1,13,no,63
S0688,25.2,1,yes,29
S0689,15.6,17,yes,64
S0690,10.9,13,yes,75
S0691,29.4,10,yes,73
S0692,10.9,6,no,32
S0693,19.0,10,yes,87
S0694,18.9,11,yes,68
S0695,29.6,5,no,72
S0696,3.6,13,no,55
S0697,27.8,3,yes,73
S0698,20.9,6,yes,89
S0699,9.9,13,yes,33
S0700,5.9,2,yes,45
S0701,8.7,7,no,51
S0702,11.8,11,no,92
S0703,18.0,7,no,82
S0704,3.1,13,no,15
S0705,10.1,8,no,41
S0706,2.6,4,yes,13
S0707,20.4,20,no,62
S0708,23.5,9,yes,78
S0709,2.0,17,yes,53
S0710,10.4,18,no,15
S0711,8.4,20,no,32
S0712,3.6,1,yes,2
S0713,15.0,17,no,84
S0714,13.2,20,yes,5
S0715,19.0,12,no,97
S0716,18.6,15,yes,14
S0717,5.9,8,no,96
S0718,0.2,15,no,84
S0719,8.8,1,no,9
S0720,4.9,20,no,44
S0721,11.2,6,no,84
S0722,27.1,2,yes,63
S0723,13.7,0,yes,4
S0724,17.8,15,yes,100
S0725,16.7,9,yes,58
S0726,23.5,19,yes,17
S0727,17.5,12,yes,33
S0728,26.0,3,no,18
S0729,13.5,6,no,75
S0730,20.7,20,no,60
S0731,22.5,9,yes,14
S0732,18.6,5,no,21
S0733,18.2,4,no,31
S0734,5.3,13,yes,11
S0735,9.4,4,no,18
S0736,13.8,19,no,50
S0737,29.2,19,no,4
S0738,9.7,1,no,42
S0739,29.0,3,yes,35
S0740,5.7,19,no,30
S0741,20.7,16,yes,64
S0742,26.2,4,yes,33
S0743,8.5,3,no,5
S0744,4.1,17,yes,20
S0745,27.7,15,no,50
S0746,2.2,19,no,38
S0747,14.7,4,no,70
S0748,19.9,7,no,81
S0749,9.0,13,yes,61
S0750,9.6,18,no,8
S0751,2.4,5,yes,34
S0752,12.8,12,no,84
S0753,10.0,12,yes,38
S0754,1.3,14,yes,19
S0755,28.8,1,no,32
S0756,7.6,14,no,94
S0757,1.7,17,yes,99
S0758,21.8,9,yes,90
S0759,13.7,18,no,26
S0760,27.6,19,yes,8
S0761,9.5,4,yes,52
S0762,5.4,10,no,7
S0763,11.6,15,yes,5
S0764,24.6,1,no,28
S0765,24.5,14,no,73
S0766,25.9,18,no,0
S0767,15.8,19,no,40
S0768,5.3,10,no,33
S0769,29.1,10,yes,78
S0770,28.3,20,yes,34
S0771,10.2,13,no,72
S0772,27.3,1,yes,70
S0773,19.9,3,no,42
S0774,29.9,11,yes,55
S0775,8.7,6,no,35
S0776,1.8,10,yes,59
S0777,8.7,20,no,62
S0778,12.9,9,no,59
S0779,4.8,14,no,2
S0780,0.1,14,yes,82
S0781,16.1,18,no,33
S0782,4.0,14,no,1
S0783,15.7,16,yes,11
S0784,7.7,14,no,70
S0785,4.1,17,yes,23
S0786,19.6,3,yes,27
S0787,15.1,3,no,0
S0788,22.4,4,no,95
S0789,4.7,11,no,23
S0790,11.7,8,no,88
S0791,7.2,20,yes,78
S0792,28.6,12,yes,28
S0793,10.7,19,yes,41
S0794,18.6,3,yes,69
S0795,4.1,17,yes,22
S0796,23.2,8,no,26
S0797,22.7,15,yes,79
S0798,17.4,9,yes,34
S0799,18.4,3,yes,5
S0800,9.8,12,no,51
S0801,8.7,9,yes,65
S0802,15.3,20,no,72
S0803,25.0,13,no,50
S0804,0.6,2,yes,29
S0805,8.0,19,yes,13
S0806,13.4,6,no,3
S0807,12.6,6,yes,41
S0808,16.0,18,no,68
S0809,29.5,12,no,0
S0810,29.0,18,no,42
S0811,6.8,10,no,98
S0812,16.6,11,no,7
S0813,20.7,19,no,10
S0814,28.7,18,yes,72
S0815,8.1,1,no,46
S0816,24.6,5,yes,13
S0817,5.4,17,no,68
S0818,26.3,2,no,55
S0819,3.0,10,yes,9
S0820,6.6,19,no,13
S0821,6.5,6,no,73
S0822,17.0,3,no,78
S0823,12.9,16,no,13
S0824,17.6,19,no,98
S0825,11.8,6,yes,96
S0826,28.9,1,no,71
S0827,7.8,11,yes,7
S0828,0.3,8,no,3
S0829,4.2,5,yes,40
S0830,16.5,15,no,94
S0831,28.8,15,yes,63
S0832,29.6,9,no,3
S0833,3.8,10,no,12
S0834,7.9,9,no,88
S0835,17.4,1,no,53
S0836,11.2,7,yes,34
S0837,22.9,8,yes,91
S0838,25.4,5,no,64
S0839,9.1,17,yes,78
S0840,11.0,12,no,23
S0841,27.8,12,no,85
S0842,13.5,5,no,2
S0843,19.8,9,yes,62
S0844,9.6,20,no,0
S0845,16.3,9,no,93
S0846,6.4,12,yes,17
S0847,21.1,12,yes,65
S0848,23.8,0,no,20
S0849,13.5,9,no,82
S0850,7.9,17,yes,99
S0851,16.3,8,yes,99
S0852,13.2,7,yes,41
S0853,6.6,0,yes,69
S0854,9.6,11,yes,19
S0855,19.9,15,yes,97
S0856,22.0,13,no,82
S0857,25.8,19,yes,59
S0858,26.3,8,no,52
S0859,5.0,13,yes,42
S0860,14.6,3,no,11
S0861,21.8,0,yes,83
S0862,28.4,0,no,95
S0863,16.8,18,no,30
S0864,22.0,9,no,16
S0865,1.1,0,yes,72
S0866,24.0,19,yes,61
S0867,10.1,2,no,94
S0868,12.6,6,no,44
S0869,2.7,16,no,88
S0870,14.2,15,no,81
S0871,6.5,20,yes,54
S0872,21.2,2,no,63
S0873,22.4,18,yes,88
S0874,10.8,7,no,50
S0875,13.1,11,no,83
S0876,1.2,10,yes,14
S0877,21.9,5,no,60
S0878,10.5,3,yes,8
S0879,9.8,13,no,80
S0880,13.8,17,no,56
S0881,0.7,13,no,41
S0882,6.8,14,yes,98
S0883,16.0,4,no,44
S0884,18.3,17,yes,40
S0885,15.7,19,no,15
S0886,22.3,18,yes,74
S0887,15.3,11,no,33
S0888,8.5,19,yes,2
S0889,13.6,4,yes,58
S0890,5.8,19,no,92
S0891,20.4,19,no,73
S0892,28.1,11,yes,26
S0893,27.1,18,yes,36
S0894,4.6,14,no,35
S0895,24.2,20,no,70
S0896,1.2,0,no,21
S0897,19.5,0,no,65
S0898,29.2,16,yes,98
S0899,13.7,17,no,33
S0900,14.1,15,yes,61
S0901,15.4,8,no,10
S0902,25.8,16,no,65
S0903,8.9,4,yes,9
S0904,26.0,17,no,10
S0905,16.7,10,no,11
S0906,4.0,5,no,54
S0907,27.2,11,no,54
S0908,11.0,18,no,47
S0909,17.4,13,yes,79
S0910,11.5,3,no,20
S0911,15.1,13,yes,16
S0912,5.8,16,yes,25
S0913,2.1,5,no,16
S0914,15.7,3,no,65
S0915,2.4,15,yes,11
S0916,2.7,7,yes,13
S0917,27.4,16,no,32
S0918,7.0,6,yes,25
S0919,20.6,9,no,0
S0920,9.8,16,yes,0
S0921,12.4,3,yes,58
S0922,28.1,2,yes,26
S0923,22.7,8,yes,32
S0924,22.6,18,yes,20
S0925,25.1,17,no,1
S0926,18.6,2,yes,73
S0927,2.7,6,yes,16
S0928,5.8,4,yes,45
S0929,24.8,3,yes,62
S0930,18.6,9,no,20
S0931,20.6,5,yes,52
S0932,18.2,8,no,15
S0933,20.1,13,yes,30
S0934,2.5,12,yes,12
S0935,29.2,4,no,66
S0936,14.4,6,yes,21
S0937,2.9,10,no,50
S0938,2.5,19,yes,49
S0939,9.1,5,no,34
S0940,14.0,3,no,51
S0941,10.4,11,no,1
S0942,7.4,17,no,8
S0943,15.8,3,yes,88
S0944,1.7,17,yes,12
S0945,3.0,0,no,8
S0946,1.1,18,yes,18
S0947,24.6,4,no,8
S0948,18.9,13,no,63
S0949,16.3,17,no,89
S0950,21.3,12,no,34
S0951,8.1,12,yes,51
S0952,25.1,15,yes,90
S0953,2.6,2,yes,66
S0954,9.1,13,yes,20
S0955,23.2,12,no,100
S0956,8.1,2,yes,76
S0957,11.0,5,yes,4
S0958,8.9,0,yes,92
S0959,8.6,18,yes,49
S0960,24.3,4,yes,42
S0961,14.5,4,yes,52
S0962,26.8,18,yes,55
